symbol,date,actual_change_pct,predicted_change_pct,correct_direction
RELIANCE,2026-05-15 00:00:00+05:30,-0.04,-0.04,1
RELIANCE,2026-05-22 00:00:00+05:30,0.92,-0.59,0
RELIANCE,2026-06-01 00:00:00+05:30,-0.41,-0.72,1
RELIANCE,2026-06-08 00:00:00+05:30,0.47,-0.04,0
RELIANCE,2026-06-15 00:00:00+05:30,1.67,0.43,1
RELIANCE,2026-06-22 00:00:00+05:30,-1.28,-0.15,1
RELIANCE,2026-06-30 00:00:00+05:30,1.09,-0.24,0
RELIANCE,2026-07-07 00:00:00+05:30,-2.48,0.25,0
RELIANCE,2026-07-14 00:00:00+05:30,0.19,-0.1,0
RELIANCE,2026-07-21 00:00:00+05:30,-1.16,-0.23,1
RELIANCE,2026-07-28 00:00:00+05:30,0.65,-0.05,0
RELIANCE,2026-08-04 00:00:00+05:30,-0.84,0.12,0
INFY,2025-06-23 00:00:00+05:30,-0.15,-0.21,1
INFY,2025-06-30 00:00:00+05:30,0.31,0.12,1
INFY,2025-07-07 00:00:00+05:30,0.72,0.16,1
INFY,2025-07-14 00:00:00+05:30,0.97,0.24,1
INFY,2025-07-21 00:00:00+05:30,-0.85,0.09,0
INFY,2025-07-28 00:00:00+05:30,-0.15,0.02,0
INFY,2025-08-04 00:00:00+05:30,-1.36,-0.68,1
INFY,2025-08-11 00:00:00+05:30,-0.29,0.18,0
INFY,2025-08-19 00:00:00+05:30,3.9,0.59,1
INFY,2025-08-26 00:00:00+05:30,-1.93,0.22,0
INFY,2025-09-03 00:00:00+05:30,-1.09,0.63,0
INFY,2025-09-10 00:00:00+05:30,-1.49,0.24,0
INFY,2025-09-17 00:00:00+05:30,1.2,0.01,1
INFY,2025-09-24 00:00:00+05:30,-0.66,0.01,0
INFY,2025-10-01 00:00:00+05:30,0.06,0.24,1
INFY,2025-10-09 00:00:00+05:30,0.37,0.01,1
INFY,2025-10-16 00:00:00+05:30,-2.07,-0.05,1
INFY,2025-10-24 00:00:00+05:30,0.14,-0.32,0
INFY,2025-10-31 00:00:00+05:30,0.22,-0.1,0
INFY,2025-11-10 00:00:00+05:30,1.11,-0.45,0
INFY,2025-11-17 00:00:00+05:30,-1.41,0.01,0
INFY,2025-11-24 00:00:00+05:30,-1.12,-0.16,1
INFY,2025-12-01 00:00:00+05:30,-0.19,-0.17,1
INFY,2025-12-08 00:00:00+05:30,-0.73,-0.06,1
INFY,2025-12-15 00:00:00+05:30,-0.87,0.11,0
INFY,2025-12-22 00:00:00+05:30,-1.26,-0.64,1
INFY,2025-12-30 00:00:00+05:30,-0.38,-0.06,1
INFY,2026-01-06 00:00:00+05:30,1.66,-0.02,0
INFY,2026-01-13 00:00:00+05:30,0.05,-0.07,0
INFY,2026-01-21 00:00:00+05:30,0.55,-0.2,0
INFY,2026-01-29 00:00:00+05:30,-1.11,-0.01,1
INFY,2026-02-05 00:00:00+05:30,-0.86,0.17,0
INFY,2026-02-12 00:00:00+05:30,-1.22,0.18,0
INFY,2026-02-19 00:00:00+05:30,-1.26,0.21,0
INFY,2026-02-26 00:00:00+05:30,0.85,1.11,1
INFY,2026-03-06 00:00:00+05:30,0.5,0.43,1
INFY,2026-03-13 00:00:00+05:30,0.12,-0.34,0
INFY,2026-03-20 00:00:00+05:30,0.07,-1.88,0
INFY,2026-03-30 00:00:00+05:30,2.01,-0.32,0
INFY,2026-04-08 00:00:00+05:30,-1.08,0.54,0
INFY,2026-04-16 00:00:00+05:30,-0.04,-0.18,1
INFY,2026-04-23 00:00:00+05:30,-6.93,1.14,0
INFY,2026-04-30 00:00:00+05:30,0.0,0.17,0
INFY,2026-05-08 00:00:00+05:30,-0.19,0.39,0
INFY,2026-05-15 00:00:00+05:30,2.1,-0.04,0
INFY,2026-05-22 00:00:00+05:30,-0.51,0.06,0
INFY,2026-06-01 00:00:00+05:30,5.68,0.4,1
INFY,2026-06-08 00:00:00+05:30,-0.61,-0.63,1
INFY,2026-06-15 00:00:00+05:30,0.77,-0.31,0
INFY,2026-06-22 00:00:00+05:30,-3.39,-0.42,1
INFY,2026-06-30 00:00:00+05:30,-1.51,0.39,0
INFY,2026-07-07 00:00:00+05:30,-0.23,-0.42,1
INFY,2026-07-14 00:00:00+05:30,-1.52,0.75,0
INFY,2026-07-21 00:00:00+05:30,-1.99,-0.32,1
INFY,2026-07-28 00:00:00+05:30,4.51,-0.35,0
INFY,2026-08-04 00:00:00+05:30,0.56,-0.5,0
HDFCBANK,2025-06-23 00:00:00+05:30,0.64,0.09,1
HDFCBANK,2025-06-30 00:00:00+05:30,0.53,0.26,1
HDFCBANK,2025-07-07 00:00:00+05:30,0.7,0.24,1
HDFCBANK,2025-07-14 00:00:00+05:30,0.63,-0.04,0
HDFCBANK,2025-07-21 00:00:00+05:30,0.33,0.46,1
HDFCBANK,2025-07-28 00:00:00+05:30,0.65,-0.02,0
HDFCBANK,2025-08-04 00:00:00+05:30,-0.72,0.21,0
HDFCBANK,2025-08-11 00:00:00+05:30,-1.29,0.1,0
HDFCBANK,2025-08-19 00:00:00+05:30,-0.15,0.09,0
HDFCBANK,2025-08-26 00:00:00+05:30,-1.6,-0.08,1
HDFCBANK,2025-09-03 00:00:00+05:30,0.71,-0.2,0
HDFCBANK,2025-09-10 00:00:00+05:30,0.2,0.04,1
HDFCBANK,2025-09-17 00:00:00+05:30,1.08,-0.18,0
HDFCBANK,2025-09-24 00:00:00+05:30,-0.13,-0.18,1
HDFCBANK,2025-10-01 00:00:00+05:30,-0.01,0.01,0
HDFCBANK,2025-10-09 00:00:00+05:30,0.39,0.02,1
HDFCBANK,2025-10-16 00:00:00+05:30,0.82,0.11,1
HDFCBANK,2025-10-24 00:00:00+05:30,0.82,0.11,1
HDFCBANK,2025-10-31 00:00:00+05:30,0.54,-0.17,0
HDFCBANK,2025-11-10 00:00:00+05:30,0.73,0.09,1
HDFCBANK,2025-11-17 00:00:00+05:30,-0.41,0.01,0
HDFCBANK,2025-11-24 00:00:00+05:30,-0.94,0.1,0
HDFCBANK,2025-12-01 00:00:00+05:30,-1.23,0.0,0
HDFCBANK,2025-12-08 00:00:00+05:30,-0.6,-0.04,1
HDFCBANK,2025-12-15 00:00:00+05:30,-0.18,0.05,0
HDFCBANK,2025-12-22 00:00:00+05:30,0.9,0.03,1
HDFCBANK,2025-12-30 00:00:00+05:30,0.03,-0.1,0
HDFCBANK,2026-01-06 00:00:00+05:30,-1.37,0.13,0
HDFCBANK,2026-01-13 00:00:00+05:30,-1.27,-0.04,1
HDFCBANK,2026-01-21 00:00:00+05:30,-0.18,0.05,0
HDFCBANK,2026-01-29 00:00:00+05:30,-0.67,-0.03,1
HDFCBANK,2026-02-05 00:00:00+05:30,-0.91,0.3,0
HDFCBANK,2026-02-12 00:00:00+05:30,-1.81,-0.15,1
HDFCBANK,2026-02-19 00:00:00+05:30,-0.41,-0.24,1
HDFCBANK,2026-02-26 00:00:00+05:30,-1.21,-0.2,1
HDFCBANK,2026-03-06 00:00:00+05:30,-1.91,0.48,0
HDFCBANK,2026-03-13 00:00:00+05:30,2.89,-0.02,0
HDFCBANK,2026-03-20 00:00:00+05:30,-4.65,-2.33,1
HDFCBANK,2026-03-30 00:00:00+05:30,1.46,-2.33,0
HDFCBANK,2026-04-08 00:00:00+05:30,-2.25,2.43,0
HDFCBANK,2026-04-16 00:00:00+05:30,0.56,0.63,1
HDFCBANK,2026-04-23 00:00:00+05:30,0.06,0.75,1
HDFCBANK,2026-04-30 00:00:00+05:30,0.0,0.45,0
HDFCBANK,2026-05-08 00:00:00+05:30,-2.2,0.42,0
HDFCBANK,2026-05-15 00:00:00+05:30,0.15,0.22,1
HDFCBANK,2026-05-22 00:00:00+05:30,2.61,-0.06,0
HDFCBANK,2026-06-01 00:00:00+05:30,0.75,-0.0,0
HDFCBANK,2026-06-08 00:00:00+05:30,-0.04,-0.06,1
HDFCBANK,2026-06-15 00:00:00+05:30,0.97,0.08,1
HDFCBANK,2026-06-22 00:00:00+05:30,-1.49,0.21,0
HDFCBANK,2026-06-30 00:00:00+05:30,-0.23,0.07,0
HDFCBANK,2026-07-07 00:00:00+05:30,-2.29,-0.61,1
HDFCBANK,2026-07-14 00:00:00+05:30,0.75,-0.02,0
HDFCBANK,2026-07-21 00:00:00+05:30,-1.09,0.21,0
HDFCBANK,2026-07-28 00:00:00+05:30,1.74,0.16,1
HDFCBANK,2026-08-04 00:00:00+05:30,-0.94,0.27,0
ITC,2025-06-20 00:00:00+05:30,-1.11,0.13,0
ITC,2025-06-27 00:00:00+05:30,-0.53,-0.01,1
ITC,2025-07-04 00:00:00+05:30,0.87,0.07,1
ITC,2025-07-11 00:00:00+05:30,0.62,-0.12,0
ITC,2025-07-18 00:00:00+05:30,-0.63,-0.01,1
ITC,2025-07-25 00:00:00+05:30,0.12,-0.0,0
ITC,2025-08-01 00:00:00+05:30,0.1,0.15,1
ITC,2025-08-08 00:00:00+05:30,0.57,0.07,1
ITC,2025-08-18 00:00:00+05:30,0.69,0.07,1
ITC,2025-08-25 00:00:00+05:30,1.0,-0.09,0
ITC,2025-09-02 00:00:00+05:30,1.23,0.04,1
ITC,2025-09-09 00:00:00+05:30,0.73,0.07,1
ITC,2025-09-16 00:00:00+05:30,-0.92,0.05,0
ITC,2025-09-23 00:00:00+05:30,-0.55,0.1,0
ITC,2025-09-30 00:00:00+05:30,1.01,0.16,1
ITC,2025-10-08 00:00:00+05:30,0.04,0.11,1
ITC,2025-10-15 00:00:00+05:30,1.31,0.12,1
ITC,2025-10-23 00:00:00+05:30,0.2,-0.37,0
ITC,2025-10-30 00:00:00+05:30,0.38,-0.01,0
ITC,2025-11-07 00:00:00+05:30,0.37,-0.2,0
ITC,2025-11-14 00:00:00+05:30,-0.26,-0.1,1
ITC,2025-11-21 00:00:00+05:30,-1.05,0.04,0
ITC,2025-11-28 00:00:00+05:30,0.0,0.08,0
ITC,2025-12-05 00:00:00+05:30,-0.65,0.1,0
ITC,2025-12-12 00:00:00+05:30,0.55,0.23,1
ITC,2025-12-19 00:00:00+05:30,0.41,0.17,1
ITC,2025-12-29 00:00:00+05:30,-0.5,-0.16,1
ITC,2026-01-05 00:00:00+05:30,-2.07,0.41,0
ITC,2026-01-12 00:00:00+05:30,-1.09,0.05,0
ITC,2026-01-20 00:00:00+05:30,-0.48,-0.07,1
ITC,2026-01-28 00:00:00+05:30,-0.79,-0.54,1
ITC,2026-02-04 00:00:00+05:30,-1.16,-0.21,1
